epoch,train_azimuth,train_distance,train_height,train_side,train_side_ce,train_side_kl,train_total,val_azimuth,val_azimuth_circular_mae_deg,val_distance,val_distance_mae,val_height,val_height_mae,val_side,val_side_accuracy,val_side_ce,val_side_kl,val_total
1,0.10527927104971911,11.4184561905108,12.04477382333655,1.3921032344040118,1.3900407952697653,0.004124877484221207,26.352715793408844,0.06574389403685928,17.934676718711852,7.145201280713081,7.145201280713081,8.056797981262207,8.056797981262207,1.388130885362625,0.2484375,1.3873649805784225,0.001531827449798584,18.044004952907564
2,0.06674402138512385,4.44773242426546,5.277857121668364,1.3891177969543558,1.3886071467085888,0.0010212942173606471,12.570569135640797,0.07538178758695721,17.98266222476959,2.581018215417862,2.581018215417862,4.524725100398063,4.524725100398063,1.388916352391243,0.25,1.3878946900367737,0.002043316513299942,9.95895779132843
3,0.09648793259341466,2.1638798533301604,3.810898704748405,1.3857099625625109,1.3852166580526453,0.0009866156860401756,8.8426864209928,0.24688718849793076,34.08759179115295,2.58279000967741,2.58279000967741,2.50226199477911,2.50226199477911,1.3823388516902924,0.25625,1.3806394815444947,0.003398745507001877,8.096617007255555
4,0.08786573785504229,1.570061160937736,1.5180246324131363,1.3854139478583085,1.3846588346518969,0.0015102244521442213,5.946779417364221,0.02092544985935092,9.462818336486816,1.1958950281143188,1.1958950281143188,0.6706532180309296,0.6706532180309296,1.3869065374135972,0.265625,1.385028350353241,0.0037563763558864593,4.6612868249416355
5,0.05862655792091238,1.2627215248189474,0.9686935732239171,1.3837643987254094,1.383383550141987,0.0007617054016966568,5.05757043549889,0.09954766677692532,19.288537192344666,1.05773636251688,1.05773636251688,0.4181121826171875,0.4181121826171875,1.3886857599020004,0.246875,1.3863819360733032,0.0046076677739620205,4.352767723798752
6,0.05479800384981852,1.0960251669350423,0.6501710834471803,1.382554314638439,1.382207177187267,0.0006942776472944962,4.56610287020081,0.10040970658883452,20.86516878604889,0.7693970322608947,0.7693970322608947,0.351305878162384,0.351305878162384,1.3833025842905045,0.26875,1.3816953480243683,0.0032144889235496523,3.9877177834510804
7,0.05815093251141278,1.0741087476673878,0.5184952295140216,1.3799728374732168,1.3795306698272103,0.0008843358802167993,4.410700594124041,0.021200742293149232,10.031798219680786,0.5247694104909897,0.5247694104909897,0.271809446811676,0.271809446811676,1.3797854751348495,0.2875,1.378406047821045,0.002758867293596268,3.577350550889969
8,0.04260400114090819,0.9053937906497403,0.3975968666766819,1.3785609532343714,1.3782700237474943,0.0005818568170070648,4.102716569837771,0.02406558319926262,10.247276949882508,0.5296756207942963,0.5296756207942963,0.32206624895334246,0.32206624895334246,1.375564667582512,0.328125,1.3747112452983856,0.0017068661749362946,3.626936787366867
9,0.04640855059321774,0.7844629746518637,0.2993656440000785,1.3766934832460003,1.3764521565876509,0.0004826603751433523,3.8836241348793634,0.013208943419158459,7.403801608085632,0.802892817556858,0.802892817556858,0.1585996374487877,0.1585996374487877,1.3722130119800569,0.3140625,1.371474814414978,0.0014763996005058289,3.719127434492111
10,0.0323105043437528,0.6430683786931791,0.23513615562727577,1.3716616638396915,1.3712381085282879,0.0008471092503321799,3.6538383615644356,0.011559898406267166,6.863145971298218,0.3330525279045105,0.3330525279045105,0.16567650586366653,0.16567650586366653,1.3678394496440887,0.3234375,1.3669184535741805,0.0018420040607452393,3.245967847108841
11,0.04285421739577463,0.6007163971662521,0.23165962923514216,1.3658777789065712,1.365487034383573,0.0007814835560949225,3.6069858042817367,0.014515115786343813,7.821699714660644,0.2976469129323959,0.2976469129323959,0.15276464819908142,0.15276464819908142,1.364423358440399,0.3296875,1.36339131295681,0.002064092457294464,3.19377338886261
12,0.0369851803407073,0.48949604050109263,0.21963166641561607,1.3605776091939525,1.360346669429227,0.00046186894178390503,3.4672681061845076,0.010827091615647077,6.588129448890686,0.6433496311306953,0.6433496311306953,0.1286975398659706,0.1286975398659706,1.363046297430992,0.3375,1.3602703362703323,0.005551911890506744,3.5089668571949004
13,0.03601539593287989,0.46823626207677943,0.19864879352481743,1.3553677781632072,1.3549744377010746,0.0007866801399933664,3.4136360036699394,0.03728289799764752,13.426729989051818,0.5169349521398544,0.5169349521398544,0.32372079938650133,0.32372079938650133,1.3511418491601943,0.3296875,1.3488626807928086,0.004558352380990982,3.580222350358963
14,0.035385356897390204,0.4414012102704299,0.1742960422446853,1.3441424934487594,1.3439353853464127,0.0004142169889650847,3.339367595158125,0.019221728015691043,8.759014081954955,0.21989453881978988,0.21989453881978988,0.11958808302879334,0.11958808302879334,1.3379949063062668,0.3578125,1.3354767292737961,0.00503634512424469,3.034694159030914
15,0.03016860564974578,0.25843325022019836,0.15112491932354474,1.3234288143484216,1.3232029574482065,0.0004517218392146261,3.0865844127378965,0.01593896737322211,8.423165369033814,0.3436901241540909,0.3436901241540909,0.16235247403383254,0.16235247403383254,1.3164748191833495,0.359375,1.3116599291563034,0.009629771113395691,3.154931181669235
16,0.03647544406550495,0.29671549483349446,0.1365444875861469,1.2864009557585967,1.2861030838991467,0.000595739013270328,3.0425373300125726,0.01203580517321825,6.856691670417786,0.35492057353258133,0.35492057353258133,0.15007521361112594,0.15007521361112594,1.30490485727787,0.3953125,1.2922610849142075,0.02528753988444805,3.126841312646866
17,0.030721172371781187,0.2857339652745347,0.15551802986546567,1.246993548775974,1.2466269151160592,0.0007332645748790942,2.965960267343019,0.02552991723641753,10.278772854804993,0.2179979294538498,0.2179979294538498,0.14145861715078353,0.14145861715078353,1.301385325193405,0.4109375,1.2767472118139267,0.04927622750401497,2.9877571046352385
18,0.03364503976741904,0.2592765328131224,0.13452804990504919,1.1951496557969796,1.1947438901192264,0.0008115335122535104,2.8177489450103357,0.01491544134914875,7.5959716796875,0.16088422536849975,0.16088422536849975,0.07781044989824296,0.07781044989824296,1.1901261329650878,0.5265625,1.181188203394413,0.0178758580237627,2.6338623821735383
19,0.03037366346995297,0.21527778827830366,0.13494017759436056,1.1407988275352277,1.1403111576249725,0.0009753400165783731,2.6621892813004946,0.014626767858862877,7.919195914268494,0.1932538390159607,0.1932538390159607,0.11449373811483383,0.11449373811483383,1.2240382134914398,0.471875,1.192435047030449,0.06320634596049786,2.770450782775879
20,0.03168177991909416,0.208034564397837,0.1366092652866715,1.0965956327946562,1.0959380578837896,0.001315144723967502,2.5695168783790185,0.05385220106691122,15.760445690155029,0.29947772026062014,0.29947772026062014,0.08778172582387925,0.08778172582387925,1.3890574485063554,0.36875,1.307073949277401,0.1639669954776764,3.2192265510559084
21,0.030011970966466163,0.2070870536722635,0.13024834112117165,1.0562493608970391,1.05551756761576,0.0014635898957127019,2.479846089294082,0.013948252517729997,7.56254210472107,0.16189952343702316,0.16189952343702316,0.17908329218626023,0.17908329218626023,1.093496397137642,0.54375,1.0793041333556175,0.028384537622332572,2.541923862695694
22,0.03169204382912109,0.160807739747198,0.11647985601111462,1.0243889634546481,1.0230178997704857,0.002742121094151547,2.357757559732387,0.014176815748214722,8.003661274909973,0.13285934925079346,0.13285934925079346,0.08834027498960495,0.08834027498960495,1.0646777629852295,0.5734375,1.047851914167404,0.03365170434117317,2.3647319585084916
23,0.026480802530912978,0.1590249765860407,0.10622485217295195,0.981389604116741,0.9804498051342211,0.0018795977689717944,2.2545098395724046,0.010361624602228402,6.2991537809371945,0.124955153465271,0.124955153465271,0.13830205351114272,0.13830205351114272,1.1326363548636436,0.528125,1.0979641005396843,0.06934450715780258,2.538891538977623
24,0.025054087249660177,0.15690086546697116,0.09900107195502833,0.9610710328346804,0.9597050629948315,0.0027319341897964478,2.203098086150069,0.010204565431922673,6.392243266105652,0.18062200397253036,0.18062200397253036,0.0727818489074707,0.0727818489074707,1.1090636983513833,0.5484375,1.0725424647331239,0.0730424776673317,2.481735807657242
25,0.024482636614457556,0.14206151193694064,0.08776808177170001,0.9455115599067587,0.9440873445648896,0.0028484269584480083,2.1453353456760706,0.008879662584513425,5.822686648368835,0.12207965105772019,0.12207965105772019,0.09890080392360687,0.09890080392360687,1.0192922472953796,0.596875,1.0003234952688218,0.03793749250471592,2.268444609642029
26,0.02269305055961013,0.13469075529198898,0.09033243946338955,0.9197412650836142,0.9180025128941787,0.0034775051631425555,2.0871987727127577,0.007730664219707251,5.546167182922363,0.12996827214956283,0.12996827214956283,0.06911879479885101,0.06911879479885101,1.0037808746099472,0.6484375,0.9850178450345993,0.037526066228747365,2.2143794775009153
27,0.022396929586600316,0.13259673079377726,0.08904235261051278,0.9087233339485369,0.9070490296734007,0.003348609922747863,2.0614826836084066,0.008824280928820372,5.935522723197937,0.11219415366649628,0.11219415366649628,0.11063882112503051,0.11063882112503051,0.9842029497027397,0.6171875,0.965367104113102,0.03767169080674648,2.2000631421804426
28,0.0213737060364924,0.1178066867746805,0.08448461051049985,0.8884829376873217,0.8865538737491557,0.0038581251313811855,2.0006308759513654,0.009082578402012587,5.999209022521972,0.1221721664071083,0.1221721664071083,0.11478069424629211,0.11478069424629211,0.9796256080269814,0.61875,0.9591706022620201,0.040910016000270846,2.2052866548299788
29,0.022429431347470535,0.1336695657748925,0.08700777590274811,0.8767654511489367,0.874977320432663,0.003576261432547318,1.9966376706173545,0.010689848754554986,6.904068040847778,0.11652261763811111,0.11652261763811111,0.05853407979011536,0.05853407979011536,1.009256587922573,0.59375,0.9822694048285484,0.05397435463964939,2.2042597234249115
30,0.022104704630021985,0.11879262014439232,0.08636064749015004,0.8705954453662822,0.8684968587599302,0.0041971724284322635,1.9684488647862484,0.01126209432259202,7.014383220672608,0.12034723907709122,0.12034723907709122,0.12051397860050202,0.12051397860050202,0.9783126056194306,0.6109375,0.9560455918312073,0.04453402981162071,2.208748513460159
